,0
0,0.9322535211267612
1,0.9324711001860237
2,0.9326536894321932
3,0.9326063808182243
4,0.9324642515740129
5,0.932688463613264
6,0.9324676626889191
7,0.9323147072451501
8,0.9320628338723516
9,0.9322315504851163
10,0.9321335773640919
11,0.9321288871409149
12,0.932232685120041
13,0.9320350661412867
14,0.9320709161008018
15,0.9323256301859688
16,0.9323552559569555
17,0.9321209225650148
18,0.9322234333484898
19,0.9321516705480607
20,0.9320562473434499
21,0.9321878040573616
22,0.9321723205404473
23,0.932137777333849
24,0.932119927932037
25,0.9320960845500356
26,0.9321110443815159
27,0.9320320605638681
28,0.932027835983688
29,0.9320831370737958
30,0.9320387478361608
31,0.9321257349358233
32,0.9321274623958503
33,0.9320063665630789
34,0.9319781963230842
35,0.9320400555420306
36,0.9321152030360441
37,0.9321667020337387
38,0.9321309711066252
39,0.9320569714403569
40,0.9320763072816305
41,0.9319995896479409
42,0.9320390856251212
43,0.9319689445786657
44,0.9319275171889652
45,0.9319062096070542
46,0.9319205231764452
47,0.9319157856455422
48,0.9319317576262129
49,0.9319888671545413
50,0.9320249636266897
51,0.9320487534047461
52,0.9320201874793425
53,0.9320853253854369
54,0.932120724161417
55,0.9321108463650983
56,0.9321401961443739
57,0.9321716995092008
58,0.9321717370267308
59,0.9321255231946816
60,0.9321506982601087
61,0.9321550028432943
62,0.9321940565222162
63,0.9321701335050779
64,0.9321316469632656
65,0.9321809991136533
66,0.932174980884759
67,0.9321980402358624
68,0.9322366242207849
69,0.9322439982888994
70,0.932236921876855
71,0.9322497957647864
72,0.9322886306962649
73,0.9323030042372249
74,0.9323518429686077
75,0.9323419502979694
76,0.9323701624462336
77,0.9323699850025534
78,0.932355262363936
79,0.9323937406595292
80,0.9324134282971419
81,0.9323974676003811
82,0.9323930991199061
83,0.9323583441805092
84,0.9323691266466352
85,0.932373726405188
86,0.9323897146750384
87,0.9323800413439411
88,0.9323852120781263
89,0.9323798737428667
90,0.9323471802061821
91,0.9323379391820724
92,0.9323301846367502
93,0.9323188535261577
94,0.9323312232353947
95,0.932333454811537
96,0.9323181458428415
97,0.9323305788991975
98,0.9323218196641959
